"sample.fraction","mtry","min.node.size","honesty.fraction","honesty.prune.leaves","alpha","imbalance.penalty","model","outcome"
0.433075370755978,21,8,0.683411394734867,0,0.0670671764528379,0.412240516967912,"full","CDCA_STROKE_DTH_RATE_ABOVE35"
0.5,10,5,0.5,1,0.05,0,"selected","CDCA_STROKE_DTH_RATE_ABOVE35"
0.5,27,5,0.5,1,0.05,0,"full","CDCW_INJURY_DTH_RATE"
0.5,10,5,0.5,1,0.05,0,"selected","CDCW_INJURY_DTH_RATE"
0.5,27,5,0.5,1,0.05,0,"full","CDCW_SELFHARM_DTH_RATE"
0.5,10,5,0.5,1,0.05,0,"selected","CDCW_SELFHARM_DTH_RATE"
0.433075370755978,21,7,0.683411394734867,0,0.0670671764528379,0.412240516967912,"full","CHR_PCT_ADULT_OBESITY"
0.5,10,5,0.5,1,0.05,0,"selected","CHR_PCT_ADULT_OBESITY"
0.5,27,5,0.5,1,0.05,0,"full","CHR_PCT_LOW_BIRTH_WT"
0.5,10,5,0.5,1,0.05,0,"selected","CHR_PCT_LOW_BIRTH_WT"
0.5,27,5,0.5,1,0.05,0,"full","CHR_PCT_MENTAL_DISTRESS"
0.5,10,5,0.5,1,0.05,0,"selected","CHR_PCT_MENTAL_DISTRESS"
