"COUNTYFP","avg_drive_time_minutes"
"119",30.02
"131",42.18
"117",28.8583333333333
"133",28.2
"051",18.075
"107",12.0706666666667
"181",44.05
"101",32.75
"085",15.18
"003",15.7344827586207
"019",21.87
"067",20.64375
"015",19.2944444444444
"113",28.05
"053",24.8444444444444
"121",10.4652173913043
"081",11.9666666666667
"141",57.8833333333333
"001",29.76
"095",11.5117647058824
"093",25.3111111111111
"153",10.9451612903226
"057",17.7666666666667
"105",18.6142857142857
"195",23.5818181818182
"191",20.6866666666667
"083",19.3363636363636
"059",10.3743682310469
"171",20.3818181818182
"099",34.3333333333333
"027",28.0714285714286
"031",30.3833333333333
"075",29.85
"033",34.9333333333333
"155",23.35
"161",13.8454545454545
"149",11.4285714285714
"147",15.4166666666667
"157",36.4
"029",45.225
"660",8.34545454545455
"007",42.5
"097",19.05
"041",13.5906666666667
"177",18.5411764705882
"163",19.45
"023",29.4444444444444
"137",33.0125
"063",37.28
"125",48.16
"127",23.325
"103",16.56
"139",15.9
"017",14.55
"036",28.1
"159",24.75
"069",15.5210526315789
"165",20.7181818181818
"179",13.2875
"111",37.7
"840",6.38333333333333
"143",31.8
"047",14.03
"167",20.2666666666667
"185",15.7461538461538
"009",22.53
"193",46.9166666666667
"145",32.9666666666667
"005",23.3666666666667
"830",8.13333333333333
"199",12.13125
"187",14.6333333333333
"640",3.25
"087",9.9
"175",23.8666666666667
"720",18.3
"135",41.32
"790",10.5285714285714
"670",4.3
"750",10.5
"183",31.5
"610",5.2
"595",2.95
"620",4.1
"740",5.85161290322581
"800",13.325
"520",26.2
"650",9.44473684210526
"710",9.4375
"810",9.48333333333333
"013",7.27777777777778
"550",10.7622950819672
"011",36.5
"173",15.7111111111111
"680",9.9304347826087
"025",29.1666666666667
"630",5.12857142857143
"760",6.76538461538462
"045",33.9
"049",30.5
"540",4.36666666666667
"775",7.04
"770",8.684
"079",34.65
"820",12.44
"678",3.25
"073",14.9555555555556
"735",15.275
"169",49.5833333333333
"071",14.95
"035",17.78
"690",41.58
"700",7.98936170212766
"115",32.58
"089",41.0928571428571
"077",28.54
"109",42.9555555555556
"091",63.9
"530",11.75
"021",43
"600",12.02
"580",11.5
"510",8.39375
"590",6.16875
"037",42.45
"683",5.38571428571429
"570",13.68
"061",19.34
"065",32.5
"685",9.26666666666667
"730",6.74545454545455
"197",15.175
"043",26.95
